"task","id","group","session","phase","piss","thirsty","hungry"
"internal",125,"control","second",2,10.43956,70.6044,73.9011
"internal",125,"control","second",3,9.89011,55.76923,74.72527
"internal",125,"control","second",4,13.46154,82.96703,68.95604
"internal",125,"control","second",5,15.65934,35.43956,71.7033
"internal",126,"control","second",1,8.241758,32.41758,37.08791
"internal",126,"control","second",2,8.241758,17.30769,22.25275
"internal",126,"control","second",3,29.3956,33.24176,60.16484
"internal",126,"control","second",4,34.61538,22.52747,67.03297
"internal",126,"control","second",5,67.30769,21.97802,78.02198
"internal",127,"control","second",1,18.95604,30.21978,50
"internal",127,"control","second",2,19.78022,15.93407,50
"internal",127,"control","second",3,29.94505,18.95604,50
"internal",127,"control","second",4,31.59341,33.24176,52.74725
"internal",127,"control","second",5,32.69231,21.7033,50
"internal",128,"control","second",1,8.241758,59.34066,60.16484
"internal",128,"control","second",2,8.241758,62.91209,64.83516
"internal",128,"control","second",3,8.241758,59.89011,63.73626
"internal",128,"control","second",4,8.241758,50,60.16484
"internal",128,"control","second",5,15.93407,50,50
"internal",129,"control","second",1,11.81319,79.12088,68.13187
"internal",129,"control","second",2,13.18681,70.32967,71.15385
"internal",129,"control","second",3,18.68132,72.52747,75.27473
"internal",129,"control","second",4,29.3956,82.41758,72.8022
"internal",129,"control","second",5,60.43956,74.72527,70.87912
"internal",130,"control","second",1,10.71429,70.05495,69.23077
"internal",130,"control","second",2,14.83516,68.95604,72.25275
"internal",130,"control","second",3,24.17582,60.16484,67.85714
"internal",130,"control","second",4,71.15385,49.45055,68.40659
"internal",130,"control","second",5,86.26374,46.97802,57.14286
"internal",131,"control","second",1,8.241758,56.59341,57.69231
"internal",131,"control","second",2,8.241758,32.96703,57.14286
"internal",131,"control","second",3,8.241758,8.241758,53.02198
"internal",131,"control","second",4,8.241758,17.30769,60.71429
"internal",131,"control","second",5,67.58242,19.23077,72.52747
"internal",132,"control","second",1,19.23077,48.9011,50
"internal",132,"control","second",2,32.14286,34.34066,50
"internal",132,"control","second",3,50,46.42857,50
"internal",132,"control","second",4,56.86813,50,50
