"task","id","group","session","trial","condition","trialxcondition","RT","ACC","liking"
"pav",105,"control","second",15,"CSplus",8,0.4723705,1,54.3956
"pav",105,"control","second",16,"CSminus",8,0.5211926,1,59.61538
"pav",105,"control","second",17,"CSplus",9,0.3969412,1,54.3956
"pav",105,"control","second",18,"CSminus",9,0.797915,1,59.61538
"pav",105,"control","second",19,"CSplus",10,0.3418193,1,54.3956
"pav",105,"control","second",20,"CSminus",10,0.4519384,1,59.61538
"pav",105,"control","second",21,"CSplus",11,0.3184411,1,54.3956
"pav",105,"control","second",22,"CSminus",11,0.6997776,1,59.61538
"pav",105,"control","second",23,"CSminus",12,0.8833683,1,59.61538
"pav",105,"control","second",24,"CSplus",12,0.4464997,1,54.3956
"pav",105,"control","second",25,"CSminus",13,0.7766676,1,59.61538
"pav",105,"control","second",26,"CSplus",13,0.5522321,1,54.3956
"pav",105,"control","second",27,"CSplus",14,0,0,54.3956
"pav",105,"control","second",28,"CSminus",14,0.3947381,1,59.61538
"pav",105,"control","second",29,"CSminus",15,0.7211617,1,59.61538
"pav",105,"control","second",30,"CSplus",15,0,0,54.3956
"pav",105,"control","second",31,"CSplus",16,0.7785541,1,54.3956
"pav",105,"control","second",32,"CSminus",16,0.5057688,1,59.61538
"pav",105,"control","second",33,"CSminus",17,0.5537556,1,59.61538
"pav",105,"control","second",34,"CSplus",17,0.8431763,1,54.3956
"pav",105,"control","second",35,"CSplus",18,0.4101141,1,54.3956
"pav",105,"control","second",36,"CSminus",18,0.4291386,1,59.61538
"pav",105,"control","second",37,"CSminus",19,0.6216797,1,59.61538
"pav",105,"control","second",38,"CSplus",19,0.684601,1,54.3956
"pav",105,"control","second",39,"CSminus",20,0.848268,1,59.61538
"pav",105,"control","second",40,"CSplus",20,0.685765,1,54.3956
"pav",106,"control","second",1,"CSplus",1,0.5067776,1,50
"pav",106,"control","second",2,"CSminus",1,0.529678,1,50
"pav",106,"control","second",3,"CSplus",2,0.7699043,1,50
"pav",106,"control","second",4,"CSminus",2,0.677015,1,50
"pav",106,"control","second",5,"CSminus",3,0.5473664,1,50
"pav",106,"control","second",6,"CSplus",3,0.4983991,1,50
"pav",106,"control","second",7,"CSminus",4,0.3950654,1,50
"pav",106,"control","second",8,"CSplus",4,0.7534966,1,50
"pav",106,"control","second",9,"CSplus",5,0.5221831,1,50
"pav",106,"control","second",10,"CSminus",5,0.6113689,1,50
"pav",106,"control","second",11,"CSplus",6,0.6519946,1,50
"pav",106,"control","second",12,"CSminus",6,0.9111837,1,50
"pav",106,"control","second",13,"CSplus",7,0.5195264,1,50
"pav",106,"control","second",14,"CSminus",7,0.484179,1,50
"pav",106,"control","second",15,"CSminus",8,0.6141599,1,50
"pav",106,"control","second",16,"CSplus",8,0.8075315,1,50
"pav",106,"control","second",17,"CSplus",9,0.6540608,1,50
"pav",106,"control","second",18,"CSminus",9,0.6018347,1,50
"pav",106,"control","second",19,"CSminus",10,0.3364013,1,50
"pav",106,"control","second",20,"CSplus",10,0.5277103,1,50
"pav",106,"control","second",21,"CSminus",11,0.8535995,1,50
"pav",106,"control","second",22,"CSplus",11,0.9720311,1,50
"pav",106,"control","second",23,"CSminus",12,0,0,50
"pav",106,"control","second",24,"CSplus",12,0.5186325,1,50
"pav",106,"control","second",25,"CSplus",13,0.7889261,1,50
"pav",106,"control","second",26,"CSminus",13,0.8096115,1,50
"pav",106,"control","second",27,"CSminus",14,0.9852944,1,50
"pav",106,"control","second",28,"CSplus",14,0,0,50
"pav",106,"control","second",29,"CSplus",15,0,0,50
"pav",106,"control","second",30,"CSminus",15,0.5979631,1,50
"pav",106,"control","second",31,"CSminus",16,0.8769467,1,50
"pav",106,"control","second",32,"CSplus",16,0.791439,1,50
"pav",106,"control","second",33,"CSminus",17,0,0,50
"pav",106,"control","second",34,"CSplus",17,0,0,50
"pav",106,"control","second",35,"CSplus",18,0.7205457,1,50
"pav",106,"control","second",36,"CSminus",18,0,0,50
"pav",106,"control","second",37,"CSplus",19,0,0,50
"pav",106,"control","second",38,"CSminus",19,0.4641611,1,50
"pav",106,"control","second",39,"CSminus",20,0.4867192,1,50
"pav",106,"control","second",40,"CSplus",20,0.5329886,1,50
"pav",107,"control","second",1,"CSminus",1,0.5577846,1,70.05495
"pav",107,"control","second",2,"CSplus",1,0.5656744,1,54.3956
"pav",107,"control","second",3,"CSplus",2,0.8308454,1,54.3956
"pav",107,"control","second",4,"CSminus",2,0.5321176,1,70.05495
"pav",107,"control","second",5,"CSplus",3,0.4894025,1,54.3956
"pav",107,"control","second",6,"CSminus",3,0.3898597,1,70.05495
"pav",107,"control","second",7,"CSplus",4,0.534458,1,54.3956
"pav",107,"control","second",8,"CSminus",4,0.5145672,1,70.05495
"pav",107,"control","second",9,"CSminus",5,0.4603098,1,70.05495
"pav",107,"control","second",10,"CSplus",5,0.5382058,1,54.3956
"pav",107,"control","second",11,"CSminus",6,0.4983982,1,70.05495
"pav",107,"control","second",12,"CSplus",6,0.4653005,1,54.3956
"pav",107,"control","second",13,"CSplus",7,0.646977,1,54.3956
"pav",107,"control","second",14,"CSminus",7,0.5231739,1,70.05495
"pav",107,"control","second",15,"CSminus",8,0.7071456,1,70.05495
"pav",107,"control","second",16,"CSplus",8,0.4675046,1,54.3956
"pav",107,"control","second",17,"CSplus",9,0.3551915,1,54.3956
"pav",107,"control","second",18,"CSminus",9,0.5534976,1,70.05495
"pav",107,"control","second",19,"CSminus",10,0.4663794,1,70.05495
"pav",107,"control","second",20,"CSplus",10,0.7743569,1,54.3956
"pav",107,"control","second",21,"CSplus",11,0.5187416,1,54.3956
"pav",107,"control","second",22,"CSminus",11,0.3700378,1,70.05495
"pav",107,"control","second",23,"CSminus",12,0.5848361,1,70.05495
"pav",107,"control","second",24,"CSplus",12,0,0,54.3956
"pav",107,"control","second",25,"CSminus",13,0.3413989,1,70.05495
