"","ID","trial","item_condition","run","bin","congr","CS","CS_pupil","CS_DW_L","CS_DW_R","CS_DW_congr","CS_DW_cue","ANT_DW_L","ANT_DW_R","ANT_DW_congr","ANT_DW_cue","US_RT","US_ACC","CS_liking"
"50","sub-01",50,17,1,"bin02","incongr","CSpL",-0.3024299,0,0,0,0.09448819,0.6854839,0,0.6854839,0,0.1532442,1,NA
"51","sub-01",51,17,1,"bin02","congr","CSmi",-0.3080896,0,0,0,0.8632479,0,0.1484375,0.07421875,0.0703125,NA,1,NA
"52","sub-01",52,18,1,"bin02","congr","CSpR",0.08479788,0,0,0,0.4074074,0,0,0,0.8617886,0.02053879,1,NA
"53","sub-01",53,18,1,"bin02","congr","CSpL",0.588992,0,0,0,0,0.6377953,0,0.6377953,0,-0.006588419,1,NA
"54","sub-01",54,18,1,"bin02","congr","CSmi",0.3826381,0,0,0,0.253012,0,0,0,0.5923077,NA,1,NA
"55","sub-01",55,19,2,"bin03","congr","CSpL",0.299072,0,0,0,0.315,0.7109375,0.078125,0.7109375,0,NA,1,NA
"56","sub-01",56,19,2,"bin03","congr","CSmi",0.2203081,0,0,0,0.7755102,0,0,0,0.5223881,NA,1,NA
"57","sub-01",57,20,2,"bin03","congr","CSpL",-0.2346743,0,0,0,0.01960784,0,0,0,0,0.3533037,1,NA
"58","sub-01",58,19,2,"bin03","congr","CSpR",0.2124047,0,0,0,0,0,0,0,0,0.1217759,1,NA
"59","sub-01",59,20,2,"bin03","incongr","CSmi",-0.1044143,0,0,0,0.2315789,0.1391304,0.1043478,0.1217391,0.1304348,-0.006237706,1,NA
"60","sub-01",60,21,2,"bin03","congr","CSpL",-0.1469954,0,0,0,0.008196721,0,0.05042017,0,0.05882353,0.05724944,1,NA
"61","sub-01",61,21,2,"bin03","congr","CSmi",0.3755389,0,0,0,0.004830918,0.2347826,0.4173913,0.326087,0,NA,1,NA
"62","sub-01",62,22,2,"bin03","congr","CSpL",0.3019339,0.05527638,0,0.05527638,0,0.4923077,0,0.4923077,0.007692308,-0.06236749,1,NA
"63","sub-01",63,23,2,"bin03","congr","CSpL",-0.5261468,0,0,0,0.01234568,0,0,0,0.01626016,0.002696582,1,NA
"64","sub-01",64,22,2,"bin03","congr","CSmi",0.1557842,0,0,0,0.01369863,0,0,0,0,NA,1,NA
"65","sub-01",65,20,2,"bin03","congr","CSpR",-0.08985667,0,0,0,0,0,0,0,0,-0.1501891,1,NA
"66","sub-01",66,23,2,"bin03","congr","CSmi",0.3208855,0,0,0,0.7511737,0.088,0.184,0.136,0.288,NA,1,NA
"67","sub-01",67,24,2,"bin03","congr","CSmi",0.3889831,0,0,0,0.00877193,0,0,0,0,NA,1,NA
"68","sub-01",68,21,2,"bin03","congr","CSpR",0.3930644,0,0,0,0.390625,0.1478261,0.1304348,0.1304348,0,-0.2847501,1,NA
"69","sub-01",69,24,2,"bin03","congr","CSpL",-0.2842039,0,0,0,0.01020408,0.2231405,0,0.2231405,0.008264463,-0.243349,1,NA
"70","sub-01",70,25,2,"bin03","congr","CSpL",0.1075687,0,0,0,0.008333333,0,0,0,0.01626016,0.003249256,1,NA
"71","sub-01",71,22,2,"bin03","incongr","CSpR",0.532793,0,0,0,0.1698113,0.1983471,0.2066116,0.2066116,0,-0.05604853,1,NA
"72","sub-01",72,26,2,"bin03","congr","CSpL",-0.2990304,0,0,0,0.3070175,0.3870968,0.1451613,0.3870968,0,-0.05539017,1,NA
"73","sub-01",73,27,2,"bin03","congr","CSpL",-0.2690402,0,0,0,0.1525424,0.3615385,0,0.3615385,0.1,NA,1,NA
"74","sub-01",74,25,2,"bin03","congr","CSmi",0.498869,0,0,0,0.09401709,0.05426357,0.1782946,0.1162791,0.01550388,NA,1,NA
"75","sub-01",75,23,2,"bin03","congr","CSpR",-1.148858,0,0,0,0.006849315,0,0,0,0,0.02417212,1,NA
"76","sub-01",76,24,2,"bin03","congr","CSpR",-0.3107371,0,0,0,0.08333333,0,0,0,0.4015748,NA,1,NA
"77","sub-01",77,25,2,"bin03","congr","CSpR",-0.03055515,0,0,0,0.06422018,0,0.2769231,0.2769231,0,-0.1459191,1,NA
"78","sub-01",78,26,2,"bin03","congr","CSmi",0.7390197,0,0,0,0,0,0,0,0.3385827,NA,1,NA
"79","sub-01",79,27,2,"bin03","congr","CSmi",0.5510761,0,0,0,0.162963,0,0,0,0.007751938,NA,1,NA
"80","sub-01",80,28,2,"bin04","congr","CSmi",0.1458159,0,0,0,0.08130081,0,0,0,0,NA,1,NA
"81","sub-01",81,28,2,"bin04","incongr","CSpL",0.03402669,0,0,0,0.4230769,0,0,0,0.1328125,0.02510974,1,NA
"82","sub-01",82,26,2,"bin03","congr","CSpR",0.2299713,0,0,0,0.2057416,0,0,0,0.07874016,0.03458768,1,NA
"83","sub-01",83,29,2,"bin04","congr","CSmi",-0.4634931,0,0,0,0.0390625,0.4516129,0.1935484,0.3225806,0,NA,1,NA
"84","sub-01",84,27,2,"bin03","congr","CSpR",0.1001732,0,0,0,0.01086957,0,0,0,0.00877193,-0.08449999,1,NA
"85","sub-01",85,28,2,"bin04","congr","CSpR",-0.09919477,0,0,0,0.005847953,0,0.1404959,0.1404959,0,0.2559755,1,NA
"86","sub-01",86,30,2,"bin04","congr","CSmi",-0.4862948,0,0,0,0.01162791,0,0.1705426,0.08527132,0,NA,1,NA
"87","sub-01",87,29,2,"bin04","congr","CSpR",0.8158339,0,0,0,0,0,0.4836066,0.4836066,0,-0.3547484,1,NA
