ID   trial   item_condition   run   bin   congr   CS   CS_pupil   CS_DW_L   CS_DW_R   CS_DW_congr   CS_DW_cue   ANT_DW_L   ANT_DW_R   ANT_DW_congr   ANT_DW_cue   US_RT   US_ACC   CS_liking
sub-01   48   16   01   bin02    incongr   CSmi  3.532970e-01   0   0   0   1.204819e-02   2.421875e-01   0   1.210938e-01   4.843750e-01   -7.835507e-03   1   NaN
sub-01   49   17   01   bin02    congr   CSpR  8.120706e-01   0   0   0   0   7.200000e-02   6.480000e-01   6.480000e-01   0   -1.850082e-01   1   NaN
sub-01   50   17   01   bin02    incongr   CSpL  -3.024299e-01   0   0   0   9.448819e-02   6.854839e-01   0   6.854839e-01   0   1.532442e-01   1   NaN
sub-01   51   17   01   bin02    congr   CSmi  -3.080896e-01   0   0   0   8.632479e-01   0   1.484375e-01   7.421875e-02   7.031250e-02   NaN   1   NaN
sub-01   52   18   01   bin02    congr   CSpR  8.479788e-02   0   0   0   4.074074e-01   0   0   0   8.617886e-01   2.053879e-02   1   NaN
sub-01   53   18   01   bin02    congr   CSpL  5.889920e-01   0   0   0   0   6.377953e-01   0   6.377953e-01   0   -6.588419e-03   1   NaN
sub-01   54   18   01   bin02    congr   CSmi  3.826381e-01   0   0   0   2.530120e-01   0   0   0   5.923077e-01   NaN   1   NaN
sub-01   55   19   02   bin03    congr   CSpL  2.990720e-01   0   0   0   3.150000e-01   7.109375e-01   7.812500e-02   7.109375e-01   0   NaN   1   NaN
sub-01   56   19   02   bin03    congr   CSmi  2.203081e-01   0   0   0   7.755102e-01   0   0   0   5.223881e-01   NaN   1   NaN
sub-01   57   20   02   bin03    congr   CSpL  -2.346743e-01   0   0   0   1.960784e-02   0   0   0   0   3.533037e-01   1   NaN
sub-01   58   19   02   bin03    congr   CSpR  2.124047e-01   0   0   0   0   0   0   0   0   1.217759e-01   1   NaN
sub-01   59   20   02   bin03    incongr   CSmi  -1.044143e-01   0   0   0   2.315789e-01   1.391304e-01   1.043478e-01   1.217391e-01   1.304348e-01   -6.237706e-03   1   NaN
sub-01   60   21   02   bin03    congr   CSpL  -1.469954e-01   0   0   0   8.196721e-03   0   5.042017e-02   0   5.882353e-02   5.724944e-02   1   NaN
sub-01   61   21   02   bin03    congr   CSmi  3.755389e-01   0   0   0   4.830918e-03   2.347826e-01   4.173913e-01   3.260870e-01   0   NaN   1   NaN
sub-01   62   22   02   bin03    congr   CSpL  3.019339e-01   5.527638e-02   0   5.527638e-02   0   4.923077e-01   0   4.923077e-01   7.692308e-03   -6.236749e-02   1   NaN
